,Old,New
"cillabel, cillabel",0.00014853875004641837,0.00014853875004641837
"cillabel, e_m",0.009415467397025281,0.00923035040506611
"cillabel, u_browserLifeCycle",0.06631017366655526,0.06595069760668473
"cillabel, u_phonePrice",0.09142070562658032,0.15061170684844152
"cillabel, e_ch",0.02244855157839301,0.02200861164219323
"cillabel, e_pl",0.0010407358370351967,0.0017947895988338425
"cillabel, e_po",0.013178495752579454,0.012914859455222517
"cillabel, e_rn",0.0055033132421405525,0.009105755746726023
"cillabel, e_section",0.054913130150328004,0.024796797748107717
"cillabel, i_cat",0.0009366348955762514,0.0025071547719007483
"cillabel, i_dtype",0.034271068590018425,0.07788572474912353
"cillabel, label_1",0.006321477240375083,0.03454443289543643
"cillabel, pro",0.02095322545003303,0.0309147816983586
"cillabel, u_browserMode",0.11223748307839808,0.08653249753561361
"cillabel, u_feedLifeCycle_1",0.13563681394133695,0.14584715952822735
"cillabel, u_refreshTimes_1",0.030622866865393505,0.0180524895402962
"cillabel, i_dislikeTimes",0.059310552327838516,0.07776270357830567
"cillabel, i_regionEntity",0.002558210112033561,0.0036014683477197692
"cillabel, i_upTimes",0.0511702912372265,0.04131907377356485
"cillabel, adv_id",0.00029707750009283675,0.00029707750009283675
"cillabel, adv_prim_id",0.00029707750009283675,0.00029707750009283675
"cillabel, age",0.0506857890614714,0.03910508928288512
"cillabel, app_score",0.00029707750009283675,0.00029707750009283675
"cillabel, app_second_class",0.00029707750009283675,0.00029707750009283675
"cillabel, city",0.006272413101482135,0.006664681084271469
"cillabel, city_rank",0.11270898108043935,0.20651997784096682
"cillabel, creat_type_cd",0.06294329533216976,0.06294329533216976
"cillabel, device_name",0.010056080411227273,0.01010919089995785
"cillabel, emui_dev",0.024537322226567442,0.012911389081314378
"cillabel, gender",0.16953222671964546,0.12351929105621932
"cillabel, hispace_app_tags",0.00029707750009283675,0.00029707750009283675
"cillabel, inter_type_cd",0.00029707750009283675,0.00029707750009283675
"cillabel, label_2",0.0021909465631846543,0.0021909465631846543
"cillabel, net_type",0.00029707750009283675,0.00029707750009283675
"cillabel, residence",0.020810742580056784,0.022327816013801488
"cillabel, series_dev",0.024159005605587352,0.03446613892680806
"cillabel, series_group",0.05914723807144618,0.03213233779407973
"cillabel, site_id",0.00029707750009283675,0.00029707750009283675
"cillabel, spread_app_id",0.00029707750009283675,0.00029707750009283675
"cillabel, task_id",0.00029707750009283675,0.00029707750009283675
"cillabel, u_feedLifeCycle_2",0.07808682089940212,0.07808682089940212
"cillabel, u_refreshTimes_2",0.047733785363756775,0.029441317639661572
"cillabel, device_size",0.009361420676243917,0.008502434698865649
"cillabel, slot_id",0.009528682670091564,0.0076574415764454175
"e_m, cillabel",0.42979687325931154,0.4373909168554347
"e_m, e_m",0.009144614324666168,0.009208229828535495
"e_m, u_browserLifeCycle",0.14538230160793195,0.14594551103519127
"e_m, u_phonePrice",0.1744587619295183,0.17522967804225925
"e_m, e_ch",0.051249383075667024,0.04585152933021405
"e_m, e_pl",0.0025763402538693703,0.0028316180016248653
"e_m, e_po",0.03137433924503626,0.03598298497787277
"e_m, e_rn",0.014203755244734769,0.014034436233552411
"e_m, e_section",0.4477042323416121,0.45404768093876485
"e_m, i_cat",0.004735877186585292,0.004756125349270912
"e_m, i_dtype",0.1840797485901277,0.18620421602485548
"e_m, label_1",0.44293809165323145,0.4489487788876923
"e_m, pro",0.029899994357456574,0.029654104948451963
"e_m, u_browserMode",0.1339990845622056,0.13420599848985604
"e_m, u_feedLifeCycle_1",0.1657562639867961,0.16452244791860074
"e_m, u_refreshTimes_1",0.10024645536547203,0.09803019050094691
"e_m, i_dislikeTimes",0.09680759843224099,0.09794137670664833
