,Old,New
"cillabel, cillabel",0.0,0.0
"cillabel, e_m",0.009181915781939642,0.009343437218556
"cillabel, u_phonePrice",0.053106710671067106,0.15427864214992926
"cillabel, e_ch",0.010025577557755775,0.03934713020174198
"cillabel, e_pl",0.0018980257307167835,0.002444959685842003
"cillabel, e_po",0.006163747143945163,0.0048775308415746135
"cillabel, e_rn",0.006774227422742272,0.0065335095768883685
"cillabel, e_section",0.22780198019801978,0.013781979701729577
"cillabel, i_cat",0.002412541254125412,0.002938838023338993
"cillabel, i_dtype",0.08197755775577557,0.04399637708131715
"cillabel, label_1",0.02951485148514847,0.10684818481848182
"cillabel, pro",0.07183955318608781,0.053996377081317146
"cillabel, u_browserLifeCycle",0.14741336633663366,0.06392078587558003
"cillabel, u_browserMode",0.07030740216878831,0.031200348821133452
"cillabel, u_feedLifeCycle_1",0.1646740924092409,0.017748114097124002
"cillabel, u_refreshTimes_1",0.014126732673267327,0.032053152683689426
"cillabel, i_dislikeTimes",0.07777953795379539,0.07091838507158986
"cillabel, i_regionEntity",0.0047487845558749605,0.00566395361340642
"cillabel, i_upTimes",0.041652805280528046,0.03023611007717313
"cillabel, adv_id",0.0,0.0
"cillabel, adv_prim_id",0.0,0.0
"cillabel, age",0.042203795379537945,0.0866006290478672
"cillabel, app_score",0.0,0.0
"cillabel, app_second_class",0.0,0.0
"cillabel, city",0.009135493549354922,0.00908144732162176
"cillabel, city_rank",0.05105940594059406,0.07777147075609818
"cillabel, creat_type_cd",0.0,0.0
"cillabel, device_name",0.00929389036464622,0.009530347193192418
"cillabel, emui_dev",0.008600060006000602,0.017289448869699
"cillabel, gender",0.1218921892189219,0.1218921892189219
"cillabel, hispace_app_tags",0.0,0.0
"cillabel, inter_type_cd",0.0,0.0
"cillabel, label_2",0.0011551155115511371,0.0011551155115511371
"cillabel, net_type",0.0,0.0
"cillabel, residence",0.026583058305830576,0.025863524989413807
"cillabel, series_dev",0.009438000942951441,0.01792006070413136
"cillabel, series_group",0.08175577557755775,0.07900816397429217
"cillabel, site_id",0.0,0.0
