,Old,New
"cillabel, cillabel",0.00015659254619480113,0.00015659254619480113
"cillabel, e_m",0.008817911287296065,0.010151878626247494
"cillabel, u_browserLifeCycle",0.06561227685562167,0.06561227685562167
"cillabel, u_phonePrice",0.06059052933478704,0.014328217976824296
"cillabel, e_po",0.015076808319027753,0.017313688911886057
"cillabel, e_rn",0.004818671423394149,0.006012204728145846
"cillabel, e_section",0.23301523171148503,0.16262135922330093
"cillabel, i_dtype",0.09810873890369624,0.09123081741309114
"cillabel, e_pl",0.001131712666653455,0.0019333329733504697
"cillabel, u_browserMode",0.05114533477667042,0.07529864435595722
"cillabel, u_feedLifeCycle_1",0.05217314933817449,0.11363399102202734
"cillabel, u_refreshTimes_1",0.035911738982967144,0.030629502035703093
"cillabel, label_1",0.050837022896299336,0.33025367992483556
"cillabel, pro",0.021803522162718494,0.03966195584090197
"cillabel, i_dislikeTimes",0.07537315808829739,0.03414500469777638
"cillabel, i_upTimes",0.0441857382526351,0.02072502348888193
"cillabel, adv_id",0.00031318509238960227,0.00031318509238960227
"cillabel, adv_prim_id",0.00031318509238960227,0.00031318509238960227
"cillabel, age",0.037320682041758875,0.05448441904165362
"cillabel, app_score",0.00031318509238960227,0.00031318509238960227
"cillabel, app_second_class",0.00031318509238960227,0.00031318509238960227
"cillabel, city",0.006247928501174649,0.0069319944465131645
"cillabel, city_rank",0.23384806364544847,0.19722831193235202
"cillabel, creat_type_cd",0.06259787034137175,0.06259787034137175
"cillabel, device_name",0.008911718854182182,0.01146911341086098
"cillabel, emui_dev",0.021451588622660663,0.0425563272599989
"cillabel, gender",0.16930264119427915,0.14450882138010232
"cillabel, hispace_app_tags",0.00031318509238960227,0.00031318509238960227
"cillabel, inter_type_cd",0.00031318509238960227,0.00031318509238960227
"cillabel, label_2",0.002270591919824607,0.002270591919824607
"cillabel, net_type",0.00031318509238960227,0.00031318509238960227
"cillabel, residence",0.015838751262161912,0.022671990813237286
"cillabel, series_dev",0.01598692557347768,0.03133808330723458
"cillabel, series_group",0.03234503974777369,0.06500827703458459
"cillabel, site_id",0.00031318509238960227,0.00031318509238960227
"cillabel, spread_app_id",0.00031318509238960227,0.00031318509238960227
"cillabel, task_id",0.00031318509238960227,0.00031318509238960227
"cillabel, u_feedLifeCycle_2",0.077168806764798,0.077168806764798
"cillabel, u_refreshTimes_2",0.024454395182407575,0.045850297525837774
"cillabel, device_size",0.012106546266069718,0.00957963866568807
"cillabel, slot_id",0.007950106401415864,0.004702126178793888
"e_m, cillabel",0.43620811149389294,0.42847635452552457
