,Old,New
"cillabel, cillabel",0.0,0.0
"cillabel, e_m",0.008759492190451352,0.010488510384658423
"cillabel, u_browserLifeCycle",0.03564954682779456,0.03564954682779456
"cillabel, u_phonePrice",0.1321428053931477,0.13003338182089438
"cillabel, e_ch",0.009381017844334802,0.005181590060464407
"cillabel, e_pl",0.001211909362604657,0.0017218225274620044
"cillabel, e_po",0.007372339444831261,0.00868058577394298
"cillabel, e_rn",0.01258379367423537,0.006851650321666239
"cillabel, e_section",0.20950493381729662,0.3189507105292604
"cillabel, i_cat",0.0023266089906679817,0.0024115876122374463
"cillabel, i_dislikeTimes",0.0661809102566889,0.08319840737010928
"cillabel, i_dtype",0.0714487382903345,0.06614784976315691
"cillabel, i_regionEntity",0.003721367464277796,0.004174868273942894
"cillabel, i_upTimes",0.06442820969810255,0.04299429338704264
"cillabel, label_1",0.28067171640331245,0.07169445376897543
"cillabel, pro",0.1213719831213148,0.014389305384605814
"cillabel, u_browserMode",0.1122344075538016,0.03244790251336073
"cillabel, u_feedLifeCycle_1",0.045312420758257435,0.020089857396839605
"cillabel, u_refreshTimes_1",0.06304050415256919,0.04956299031492051
"cillabel, adv_id",0.0,0.0
"cillabel, adv_prim_id",0.0,0.0
"cillabel, age",0.03923423949662022,0.02952682667561822
"cillabel, app_score",0.0,0.0
"cillabel, app_second_class",0.0,0.0
"cillabel, city",0.009960100708649899,0.00998607484026604
"cillabel, city_rank",0.0874967397683062,0.18454132632128606
"cillabel, creat_type_cd",0.05834592145015105,0.05834592145015105
"cillabel, device_name",0.01013420947532004,0.012016878746875315
"cillabel, emui_dev",0.03034129192114587,0.03260159076498452
"cillabel, gender",0.15133434038267873,0.15133434038267873
"cillabel, hispace_app_tags",0.0,0.0
"cillabel, inter_type_cd",0.0,0.0
"cillabel, label_2",0.015823262839879136,0.015823262839879136
"cillabel, residence",0.028407022619567998,0.036974424538297586
"cillabel, series_dev",0.008202501442954398,0.010479995772879292
"cillabel, series_group",0.030942005135641153,0.05868993003937617
"cillabel, site_id",0.0,0.0
"cillabel, spread_app_id",0.0,0.0
"cillabel, task_id",0.0,0.0
"cillabel, u_feedLifeCycle_2",0.04101208459214502,0.04101208459214502
"cillabel, u_refreshTimes_2",0.02809039777241651,0.029455571718075904
"cillabel, device_size",0.008888433060198367,0.009439148440921922
"cillabel, net_type",0.15910895150948728,0.0453223490358435
"cillabel, slot_id",0.021529770141590656,0.00408973928611391
"e_m, cillabel",0.8201283987915409,0.845166163141994
"e_m, e_m",0.007810746655157504,0.008126597722519145
"e_m, u_browserLifeCycle",0.16577794561933532,0.17078549848942592
"e_m, u_phonePrice",0.13668806646525677,0.1408610271903323
"e_m, e_ch",0.0449354229607251,0.04968832755212415
"e_m, e_pl",0.002420382105453087,0.0027105991943605088
"e_m, e_po",0.034311599693149855,0.03724724304700807
"e_m, e_rn",0.013110484516014025,0.01571213548603666
"e_m, e_section",0.4397955003204248,0.4571345250083921
"e_m, i_cat",0.0049861117021025095,0.004965299549677938
"e_m, i_dislikeTimes",0.09568621257896182,0.09779389056730445
"e_m, i_dtype",0.18205589123867072,0.18614060926485398
"e_m, i_regionEntity",0.002825972370773795,0.003171565158344184
"e_m, i_upTimes",0.09424775702645792,0.09743609432695535
"e_m, label_1",0.4453071500503525,0.4426308115139309
"e_m, pro",0.13583797622317262,0.14722501958151502
"e_m, u_browserMode",0.1303871908554688,0.13211756102239486
"e_m, u_feedLifeCycle_1",0.14264056730446456,0.144070577374958
"e_m, u_refreshTimes_1",0.10825302369109017,0.10415107138860918
"e_m, adv_id",0.8201283987915409,0.845166163141994
"e_m, adv_prim_id",0.8201283987915409,0.845166163141994
"e_m, age",0.11274074773413897,0.11587046827794562
"e_m, app_score",0.8201283987915409,0.845166163141994
"e_m, app_second_class",0.8201283987915409,0.845166163141994
"e_m, city",0.007875965088956022,0.008021404065748363
"e_m, city_rank",0.2241786253776435,0.23043806646525677
"e_m, creat_type_cd",0.41006419939577043,0.422583081570997
"e_m, device_name",0.008543004154078519,0.008713053228267948
"e_m, emui_dev",0.04235838368580063,0.0436102719033233
"e_m, gender",0.28593907351460224,0.2942849949647533
"e_m, hispace_app_tags",0.8201283987915409,0.845166163141994
"e_m, inter_type_cd",0.8201283987915409,0.845166163141994
"e_m, label_2",0.41006419939577043,0.422583081570997
"e_m, residence",0.0341291820521428,0.035056506657715134
"e_m, series_dev",0.04706487076200069,0.048455857670359204
"e_m, series_group",0.12102395338800176,0.12460077686663792
"e_m, site_id",0.8201283987915409,0.845166163141994
"e_m, spread_app_id",0.8201283987915409,0.845166163141994
"e_m, task_id",0.8201283987915409,0.845166163141994
"e_m, u_feedLifeCycle_2",0.16416163141993956,0.16903323262839876
"e_m, u_refreshTimes_2",0.10050772071164824,0.10206445115810678
"e_m, device_size",0.01777048716012086,0.009117799522914099
"e_m, net_type",0.2316748489425982,0.2293985502685465
"e_m, slot_id",0.02580668848606916,0.02001246394831851
"u_browserLifeCycle, cillabel",0.9967522658610273,0.9967522658610273
"u_browserLifeCycle, e_m",0.009549844802621433,0.009638805775040669
"u_browserLifeCycle, u_browserLifeCycle",0.19935045317220543,0.19935045317220543
"u_browserLifeCycle, u_phonePrice",0.16628893260014344,0.16629578344709262
"u_browserLifeCycle, e_ch",0.04991004477384863,0.055426915880297904
"u_browserLifeCycle, e_pl",0.002434613626671185,0.0027108030739702435
"u_browserLifeCycle, e_po",0.03441536176205406,0.036958659173888
"u_browserLifeCycle, e_rn",0.01316041855655245,0.016099983336160768
"u_browserLifeCycle, e_section",0.4990102479949575,0.4993656987803513
"u_browserLifeCycle, i_cat",0.0046915167750910544,0.004712166023449967
"u_browserLifeCycle, i_dislikeTimes",0.09984877958660261,0.09989936499944052
"u_browserLifeCycle, i_dtype",0.19979177986915606,0.19994409943679836
"u_browserLifeCycle, i_regionEntity",0.0027142489088826313,0.0030524427826310848
"u_browserLifeCycle, i_upTimes",0.09984943163294138,0.0997736703218828
"u_browserLifeCycle, label_1",0.499213469103871,0.49853476651374434
"u_browserLifeCycle, pro",0.14277004809618,0.1661469794735991
"u_browserLifeCycle, u_browserMode",0.14262683077534521,0.14304186847615855
"u_browserLifeCycle, u_feedLifeCycle_1",0.16638239257536566,0.16628241828602686
"u_browserLifeCycle, u_refreshTimes_1",0.11114486054660805,0.11102312380076172
"u_browserLifeCycle, adv_id",0.9967522658610273,0.9967522658610273
"u_browserLifeCycle, adv_prim_id",0.9967522658610273,0.9967522658610273
"u_browserLifeCycle, age",0.12524241181073267,0.12511778048189176
"u_browserLifeCycle, app_score",0.9967522658610273,0.9967522658610273
"u_browserLifeCycle, app_second_class",0.9967522658610273,0.9967522658610273
"u_browserLifeCycle, city",0.008553199271863009,0.008487828168175341
"u_browserLifeCycle, city_rank",0.24974882631659023,0.24943365129983958
"u_browserLifeCycle, creat_type_cd",0.49837613293051364,0.49837613293051364
"u_browserLifeCycle, device_name",0.01043492056807726,0.010325089198271058
"u_browserLifeCycle, emui_dev",0.05002920624225696,0.05006866351497521
"u_browserLifeCycle, gender",0.3322507552870091,0.3322507552870091
"u_browserLifeCycle, hispace_app_tags",0.9967522658610273,0.9967522658610273
"u_browserLifeCycle, inter_type_cd",0.9967522658610273,0.9967522658610273
"u_browserLifeCycle, label_2",0.49837613293051364,0.49837613293051364
"u_browserLifeCycle, residence",0.03707770943366153,0.03705819854205778
"u_browserLifeCycle, series_dev",0.05565810191725774,0.055643542865904956
"u_browserLifeCycle, series_group",0.1430407249513294,0.1429359018419945
"u_browserLifeCycle, site_id",0.9967522658610273,0.9967522658610273
"u_browserLifeCycle, spread_app_id",0.9967522658610273,0.9967522658610273
"u_browserLifeCycle, task_id",0.9967522658610273,0.9967522658610273
"u_browserLifeCycle, u_feedLifeCycle_2",0.19935045317220546,0.19935045317220546
"u_browserLifeCycle, u_refreshTimes_2",0.11114486054660805,0.111125590035599
"u_browserLifeCycle, device_size",0.020860105722068874,0.008875105086638925
"u_browserLifeCycle, net_type",0.24948012888782628,0.25013532225579055
"u_browserLifeCycle, slot_id",0.02782256068257177,0.020461760288763595
"u_phonePrice, cillabel",0.7150302114803626,0.7150302114803626
"u_phonePrice, e_m",0.009960328636208094,0.009708046031819939
"u_phonePrice, u_browserLifeCycle",0.1450906344410876,0.1450906344410876
"u_phonePrice, u_phonePrice",0.11917170191339373,0.11917170191339373
"u_phonePrice, e_ch",0.042186166513048996,0.041979893163322526
"u_phonePrice, e_pl",0.0024400975393659837,0.0028717690384239924
"u_phonePrice, e_po",0.028830403561340843,0.033585732397179976
"u_phonePrice, e_rn",0.012645891894465551,0.01378050712256431
"u_phonePrice, e_section",0.41864837051450554,0.43805215282855275
"u_phonePrice, i_cat",0.004494050025465385,0.0047829383810391955
"u_phonePrice, i_dislikeTimes",0.09609291168120344,0.09998901105335097
"u_phonePrice, i_dtype",0.163443980746582,0.17223932657660612
"u_phonePrice, i_regionEntity",0.00307619158293131,0.0033696187254138527
"u_phonePrice, i_upTimes",0.09189060357530965,0.0908496454481138
"u_phonePrice, label_1",0.4131547065333038,0.4335303375223807
"u_phonePrice, pro",0.1298254397001773,0.12737038293096395
"u_phonePrice, u_browserMode",0.12706269349530652,0.11901769038741969
"u_phonePrice, u_feedLifeCycle_1",0.1330575267455996,0.1252145395140547
"u_phonePrice, u_refreshTimes_1",0.10030382166692271,0.09422140275965893
"u_phonePrice, adv_id",0.7150302114803626,0.7150302114803626
"u_phonePrice, adv_prim_id",0.7150302114803626,0.7150302114803626
"u_phonePrice, age",0.12539677904227897,0.12300593718063241
"u_phonePrice, app_score",0.7150302114803626,0.7150302114803626
"u_phonePrice, app_second_class",0.7150302114803626,0.7150302114803626
"u_phonePrice, city",0.008928044807058066,0.008984533006105869
"u_phonePrice, city_rank",0.23441209760697768,0.244274653921689
"u_phonePrice, creat_type_cd",0.37511329305135954,0.37511329305135954
"u_phonePrice, device_name",0.01062411834287754,0.010444415885895716
"u_phonePrice, emui_dev",0.047604209338249104,0.048357843648190034
"u_phonePrice, gender",0.29373111782477346,0.29373111782477346
"u_phonePrice, hispace_app_tags",0.7150302114803626,0.7150302114803626
"u_phonePrice, inter_type_cd",0.7150302114803626,0.7150302114803626
"u_phonePrice, label_2",0.36336858006042294,0.36336858006042294
"u_phonePrice, residence",0.03901387316362056,0.03920344692523199
"u_phonePrice, series_dev",0.05971830473389054,0.05898176718673101
"u_phonePrice, series_group",0.1496132278247978,0.1467344156531006
"u_phonePrice, site_id",0.7150302114803626,0.7150302114803626
"u_phonePrice, spread_app_id",0.7150302114803626,0.7150302114803626
"u_phonePrice, task_id",0.7150302114803626,0.7150302114803626
"u_phonePrice, u_feedLifeCycle_2",0.14534743202416917,0.14534743202416917
"u_phonePrice, u_refreshTimes_2",0.09908555984167897,0.10162191077669194
"u_phonePrice, device_size",0.019134313161765136,0.00903632426686013
"u_phonePrice, net_type",0.24263264461399286,0.2005625566030962
"u_phonePrice, slot_id",0.029050602925753344,0.02114813309200957
"e_ch, cillabel",0.8501510574018126,0.881155589123867
"e_ch, e_m",0.009204071356639334,0.009982488738271404
"e_ch, u_browserLifeCycle",0.17938066465256797,0.17953927492447128
"e_ch, u_phonePrice",0.15722138301443436,0.15864841900057158
"e_ch, e_ch",0.04250755287009067,0.048953088284659295
"e_ch, e_pl",0.002434486795920961,0.002855286740434631
"e_ch, e_po",0.0348104837309442,0.03951197862011055
"e_ch, e_rn",0.013042050935495852,0.01674733168061973
"e_ch, e_section",0.46745845921450146,0.4431594004313981
"e_ch, i_cat",0.004673441792075041,0.004931912915844368
"e_ch, i_dislikeTimes",0.09405337361530715,0.095849371031584
"e_ch, i_dtype",0.1840070493454179,0.19934399750959414
"e_ch, i_regionEntity",0.002785337470695965,0.0028452009607972946
"e_ch, i_upTimes",0.09730110775427996,0.09693230144797364
"e_ch, label_1",0.4595090634441087,0.4499574330885697
"e_ch, pro",0.1363289454754712,0.14999364316301628
"e_ch, u_browserMode",0.14339663357790244,0.14292699805283426
"e_ch, u_feedLifeCycle_1",0.1489916918429003,0.15019362735091588
"e_ch, u_refreshTimes_1",0.10275120286449593,0.1084607367131914
"e_ch, adv_id",0.8501510574018126,0.881155589123867
"e_ch, adv_prim_id",0.8501510574018126,0.881155589123867
"e_ch, age",0.11461574773413896,0.12643033616468757
"e_ch, app_score",0.8501510574018126,0.881155589123867
"e_ch, app_second_class",0.8501510574018126,0.881155589123867
"e_ch, city",0.008429519456709786,0.00886045501013145
"e_ch, city_rank",0.2330582829808661,0.24163415445279116
"e_ch, creat_type_cd",0.44108761329305135,0.45658987915407856
"e_ch, device_name",0.0100647239006378,0.010702306322079655
"e_ch, emui_dev",0.04883056394763343,0.05115566172425123
"e_ch, gender",0.2985901309164149,0.3048464249748238
"e_ch, hispace_app_tags",0.8501510574018126,0.881155589123867
"e_ch, inter_type_cd",0.8501510574018126,0.881155589123867
"e_ch, label_2",0.42651057401812686,0.442012839879154
"e_ch, residence",0.03577356308977656,0.03843349760708773
"e_ch, series_dev",0.05160330647868412,0.056716923075967644
"e_ch, series_group",0.13494677024888507,0.1434992956417482
"e_ch, site_id",0.8501510574018126,0.881155589123867
"e_ch, spread_app_id",0.8501510574018126,0.881155589123867
"e_ch, task_id",0.8501510574018126,0.881155589123867
"e_ch, u_feedLifeCycle_2",0.1801963746223565,0.1803549848942598
